age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;y
39;self-employed;married;basic.9y;no;no;no;cellular;jul;thu;742;1;999;0;nonexistent;no
39;self-employed;married;professional.course;no;yes;no;telephone;jul;wed;339;8;999;0;nonexistent;no
39;self-employed;divorced;professional.course;no;yes;no;telephone;jun;thu;529;4;999;0;nonexistent;no
39;self-employed;married;university.degree;unknown;yes;no;telephone;jun;tue;123;5;999;0;nonexistent;no
39;self-employed;married;basic.4y;unknown;yes;no;telephone;may;wed;315;3;999;0;nonexistent;no
39;self-employed;single;high.school;no;yes;no;cellular;nov;fri;169;1;999;0;nonexistent;no
39;self-employed;married;university.degree;no;no;yes;telephone;jun;mon;72;1;999;0;nonexistent;no
63;retired;married;basic.4y;no;no;no;cellular;aug;thu;163;1;999;0;nonexistent;no
63;retired;married;high.school;no;yes;no;cellular;oct;wed;96;1;999;0;nonexistent;yes
63;retired;married;basic.4y;no;yes;no;cellular;nov;fri;413;1;3;2;success;yes
63;retired;married;high.school;no;yes;no;telephone;may;mon;87;3;999;0;nonexistent;no
63;retired;divorced;basic.4y;no;no;no;cellular;mar;wed;78;1;999;0;nonexistent;no
63;retired;married;professional.course;no;yes;yes;cellular;may;mon;444;2;14;1;success;yes
63;retired;married;professional.course;no;no;no;cellular;dec;mon;137;1;999;1;failure;no
63;retired;married;university.degree;no;yes;no;cellular;aug;mon;79;1;6;2;failure;no
63;retired;married;unknown;no;yes;yes;cellular;sep;tue;167;1;999;1;failure;no
63;retired;married;professional.course;no;yes;no;cellular;apr;wed;387;2;999;0;nonexistent;yes
46;management;divorced;basic.4y;no;no;no;telephone;jul;wed;201;5;999;0;nonexistent;no
46;management;married;university.degree;no;no;no;cellular;may;mon;143;1;999;0;nonexistent;no
46;management;married;university.degree;no;no;no;telephone;may;mon;103;1;999;0;nonexistent;no
46;management;married;high.school;no;no;no;cellular;aug;wed;322;5;999;0;nonexistent;no
46;management;married;university.degree;no;no;no;cellular;may;mon;123;2;999;0;nonexistent;no
46;management;divorced;university.degree;no;yes;no;cellular;nov;mon;210;1;999;0;nonexistent;no
46;management;married;basic.9y;no;yes;no;telephone;may;wed;16;1;999;0;nonexistent;no
46;management;married;university.degree;no;yes;no;cellular;may;thu;293;2;999;0;nonexistent;no
46;management;divorced;university.degree;no;unknown;unknown;telephone;nov;mon;77;2;999;0;nonexistent;no
46;management;married;basic.9y;no;no;no;telephone;may;mon;128;2;999;0;nonexistent;no
27;management;single;university.degree;no;yes;no;cellular;sep;tue;137;2;4;2;success;no
27;management;single;university.degree;no;no;no;cellular;may;mon;52;4;999;0;nonexistent;no
27;management;single;university.degree;no;yes;no;telephone;may;tue;134;2;999;0;nonexistent;no
27;management;single;professional.course;no;yes;no;cellular;nov;tue;325;1;3;1;success;yes
27;management;married;university.degree;no;yes;no;telephone;may;tue;345;2;999;0;nonexistent;no
27;management;single;university.degree;no;yes;yes;cellular;jul;tue;76;2;999;0;nonexistent;no
27;management;single;university.degree;no;no;no;cellular;jul;wed;435;3;999;0;nonexistent;no
27;management;single;university.degree;no;yes;no;cellular;aug;wed;106;1;999;0;nonexistent;no
27;management;single;university.degree;no;no;no;cellular;sep;mon;303;2;999;0;nonexistent;no
27;management;single;university.degree;no;yes;no;cellular;may;mon;115;2;3;1;success;no
57;management;married;university.degree;no;yes;no;telephone;nov;fri;109;1;999;0;nonexistent;no
57;management;divorced;university.degree;unknown;yes;yes;telephone;jun;tue;236;2;999;0;nonexistent;no
57;management;divorced;university.degree;unknown;yes;no;cellular;apr;mon;108;1;999;0;nonexistent;no
57;management;married;professional.course;unknown;yes;no;cellular;nov;thu;224;2;999;1;failure;no
57;management;married;university.degree;no;yes;no;cellular;nov;fri;108;1;999;0;nonexistent;no
57;management;married;university.degree;no;yes;no;cellular;aug;thu;203;17;999;0;nonexistent;no
57;management;married;university.degree;no;yes;no;cellular;aug;thu;107;4;999;0;nonexistent;no
57;management;married;university.degree;no;yes;no;telephone;nov;mon;76;1;999;0;nonexistent;no
57;management;married;university.degree;unknown;no;no;telephone;may;tue;190;3;999;0;nonexistent;no
57;management;married;professional.course;unknown;yes;no;telephone;may;mon;144;3;999;0;nonexistent;no
48;retired;married;basic.4y;unknown;no;no;telephone;jun;fri;75;2;999;0;nonexistent;no
48;retired;married;basic.9y;no;yes;no;telephone;may;wed;120;1;999;0;nonexistent;no
48;retired;married;basic.9y;no;no;no;telephone;may;wed;262;1;999;0;nonexistent;no
48;retired;married;unknown;unknown;yes;no;telephone;jun;fri;9;5;999;0;nonexistent;no
48;retired;married;basic.4y;unknown;no;no;cellular;jul;tue;32;4;999;0;nonexistent;no
48;retired;divorced;basic.4y;unknown;yes;no;cellular;apr;mon;132;3;999;0;nonexistent;no
48;retired;married;basic.4y;no;no;no;telephone;may;wed;157;1;999;0;nonexistent;no
48;retired;married;basic.4y;unknown;no;no;cellular;jul;mon;110;4;999;0;nonexistent;no
48;retired;married;basic.4y;unknown;no;no;telephone;jun;wed;145;8;999;0;nonexistent;no
48;retired;divorced;professional.course;no;no;no;telephone;may;fri;219;2;999;0;nonexistent;no
60;blue-collar;married;basic.4y;unknown;yes;no;telephone;may;fri;161;1;999;0;nonexistent;no
60;blue-collar;married;unknown;unknown;yes;no;cellular;may;mon;26;5;999;0;nonexistent;no
60;blue-collar;married;basic.9y;no;yes;no;cellular;may;mon;193;1;999;1;failure;yes
60;blue-collar;married;basic.4y;unknown;yes;no;cellular;aug;wed;165;1;999;0;nonexistent;no
60;blue-collar;married;basic.4y;unknown;yes;no;cellular;apr;mon;18;4;999;0;nonexistent;no
60;blue-collar;married;basic.4y;no;yes;no;cellular;aug;thu;176;1;999;1;failure;no
60;blue-collar;married;professional.course;no;no;no;telephone;may;tue;59;3;999;0;nonexistent;no
60;blue-collar;married;basic.4y;no;yes;no;cellular;may;mon;272;2;6;2;success;yes
60;blue-collar;married;unknown;no;no;no;cellular;aug;mon;93;3;999;0;nonexistent;no
60;blue-collar;divorced;basic.4y;unknown;no;no;cellular;jul;wed;105;3;999;0;nonexistent;no
40;admin.;single;high.school;no;no;no;telephone;may;tue;371;2;999;0;nonexistent;no
40;admin.;single;high.school;no;yes;no;cellular;jun;tue;154;1;999;1;failure;no
40;admin.;married;high.school;unknown;no;yes;telephone;may;fri;84;3;999;0;nonexistent;no
40;admin.;married;university.degree;no;no;no;cellular;aug;mon;23;12;999;0;nonexistent;no
40;admin.;single;high.school;no;yes;no;cellular;jul;tue;635;3;999;0;nonexistent;no
40;admin.;married;basic.9y;unknown;yes;yes;telephone;may;mon;184;4;999;0;nonexistent;no
40;admin.;single;unknown;unknown;no;yes;telephone;may;mon;61;4;999;0;nonexistent;no
40;admin.;married;high.school;no;no;no;cellular;aug;tue;119;1;999;0;nonexistent;no
40;admin.;divorced;high.school;no;yes;no;telephone;sep;fri;101;1;999;0;nonexistent;no
40;admin.;single;basic.9y;no;yes;no;cellular;may;thu;356;1;2;3;success;yes
35;unknown;married;basic.9y;no;no;no;telephone;jun;mon;612;2;999;0;nonexistent;no
35;unknown;married;basic.9y;no;no;no;telephone;may;thu;108;2;999;0;nonexistent;no
35;unknown;married;basic.9y;no;no;yes;telephone;may;wed;129;2;999;0;nonexistent;no
35;unknown;single;basic.4y;unknown;yes;yes;telephone;may;mon;374;6;999;0;nonexistent;no
35;unknown;married;basic.9y;no;no;no;telephone;may;wed;89;1;999;0;nonexistent;no
35;unknown;married;basic.9y;no;yes;yes;telephone;may;thu;20;1;999;0;nonexistent;no
35;unknown;single;basic.4y;unknown;no;no;telephone;may;thu;82;1;999;0;nonexistent;no
35;unknown;married;basic.9y;no;no;no;telephone;may;thu;241;4;999;0;nonexistent;no
35;unknown;married;basic.9y;no;yes;no;cellular;aug;tue;148;2;999;0;nonexistent;no
35;unknown;married;basic.9y;no;no;no;cellular;aug;tue;117;1;999;0;nonexistent;no
60;housemaid;married;basic.4y;no;no;no;cellular;aug;fri;148;8;999;0;nonexistent;no
60;housemaid;married;high.school;unknown;yes;no;telephone;may;wed;74;1;999;0;nonexistent;no
60;housemaid;married;basic.4y;no;no;no;cellular;apr;wed;85;1;999;0;nonexistent;no
60;housemaid;married;high.school;unknown;no;no;telephone;may;fri;929;3;999;0;nonexistent;yes
60;housemaid;married;illiterate;unknown;yes;no;cellular;jul;tue;176;7;999;0;nonexistent;no
60;housemaid;married;high.school;no;unknown;unknown;telephone;may;wed;392;1;999;0;nonexistent;no
60;housemaid;divorced;professional.course;no;yes;no;cellular;aug;tue;186;3;999;1;failure;no
60;housemaid;married;university.degree;no;yes;no;cellular;nov;mon;66;3;999;0;nonexistent;no
60;housemaid;married;basic.4y;no;yes;no;cellular;jul;thu;503;2;5;2;success;yes
60;housemaid;married;basic.4y;no;no;no;cellular;aug;fri;270;4;6;4;failure;no
59;services;divorced;basic.6y;no;yes;no;cellular;may;tue;158;1;999;1;failure;no
59;services;married;university.degree;no;yes;no;cellular;oct;mon;383;2;999;2;failure;yes
59;services;married;high.school;unknown;yes;no;telephone;jun;fri;13;7;999;0;nonexistent;no
59;services;married;professional.course;no;yes;no;cellular;sep;fri;251;3;2;4;success;no
59;services;divorced;high.school;no;no;no;telephone;may;wed;231;1;999;0;nonexistent;no
59;services;married;high.school;no;yes;no;cellular;jul;thu;362;1;999;0;nonexistent;no
59;services;married;basic.4y;unknown;yes;no;cellular;aug;fri;120;4;999;0;nonexistent;no
59;services;married;high.school;no;yes;no;cellular;jul;thu;300;1;999;0;nonexistent;no
59;services;single;high.school;no;yes;no;cellular;mar;fri;169;2;999;0;nonexistent;no
59;services;married;university.degree;no;yes;no;cellular;oct;mon;162;1;999;0;nonexistent;no
83;housemaid;divorced;basic.4y;no;yes;no;cellular;jul;tue;667;2;3;1;success;yes
83;housemaid;divorced;basic.4y;no;yes;yes;cellular;jul;tue;257;1;999;3;failure;no
49;unemployed;married;high.school;unknown;yes;no;cellular;aug;fri;109;1;999;0;nonexistent;no
49;unemployed;divorced;professional.course;no;no;no;telephone;jun;mon;464;2;999;0;nonexistent;no
49;unemployed;married;professional.course;no;yes;no;telephone;nov;thu;226;1;999;0;nonexistent;yes
49;unemployed;married;professional.course;no;no;no;cellular;jun;tue;229;1;999;0;nonexistent;no
49;unemployed;divorced;high.school;no;unknown;unknown;cellular;nov;thu;147;1;999;0;nonexistent;no
49;unemployed;married;basic.4y;unknown;no;no;cellular;may;wed;771;2;999;0;nonexistent;no
49;unemployed;divorced;basic.9y;unknown;no;no;cellular;jul;mon;326;3;999;0;nonexistent;no
49;unemployed;married;university.degree;no;no;no;cellular;apr;thu;171;1;999;1;failure;no
49;unemployed;married;basic.6y;unknown;no;no;cellular;apr;mon;68;5;999;1;failure;no
49;unemployed;married;basic.4y;unknown;yes;no;telephone;jul;tue;275;4;999;0;nonexistent;no
47;housemaid;single;professional.course;no;yes;no;cellular;apr;tue;100;1;999;0;nonexistent;yes
47;housemaid;married;professional.course;no;yes;yes;telephone;jun;mon;132;5;999;0;nonexistent;no
47;housemaid;married;basic.4y;unknown;no;no;cellular;jul;wed;189;3;999;0;nonexistent;no
47;housemaid;divorced;basic.9y;no;yes;no;cellular;aug;wed;175;2;999;0;nonexistent;no
47;housemaid;married;basic.4y;unknown;no;no;cellular;jul;mon;139;1;999;0;nonexistent;no
47;housemaid;single;basic.4y;no;no;no;telephone;jun;tue;241;1;999;0;nonexistent;no
47;housemaid;married;basic.4y;unknown;no;yes;cellular;aug;tue;41;1;999;0;nonexistent;no
47;housemaid;married;basic.9y;no;no;no;cellular;aug;thu;135;1;999;0;nonexistent;no
47;housemaid;divorced;basic.4y;unknown;no;no;cellular;jul;mon;255;1;999;0;nonexistent;no
47;housemaid;married;basic.6y;unknown;no;yes;cellular;jul;thu;148;1;999;0;nonexistent;no
48;entrepreneur;married;basic.6y;no;no;no;cellular;may;wed;1369;3;999;0;nonexistent;no
48;entrepreneur;married;high.school;no;no;no;cellular;aug;wed;57;5;999;0;nonexistent;no
48;entrepreneur;married;university.degree;no;no;no;cellular;apr;thu;294;2;2;1;success;yes
48;entrepreneur;married;basic.4y;no;no;no;telephone;may;thu;348;1;999;0;nonexistent;no
48;entrepreneur;married;unknown;unknown;no;no;telephone;may;fri;509;2;999;0;nonexistent;no
48;entrepreneur;married;basic.9y;unknown;no;no;cellular;may;wed;487;2;999;0;nonexistent;no
48;entrepreneur;married;university.degree;no;yes;no;cellular;jul;thu;413;1;999;0;nonexistent;no
48;entrepreneur;married;basic.9y;unknown;no;no;telephone;may;wed;444;1;999;0;nonexistent;no
48;entrepreneur;married;university.degree;no;yes;no;cellular;apr;thu;871;1;999;0;nonexistent;yes
48;entrepreneur;married;basic.9y;unknown;yes;no;cellular;aug;mon;243;7;999;0;nonexistent;no
24;services;single;professional.course;no;yes;no;cellular;jul;wed;55;1;999;0;nonexistent;no
24;services;single;high.school;no;no;yes;telephone;may;fri;134;1;999;0;nonexistent;no
24;services;married;high.school;no;no;no;telephone;jul;thu;139;1;999;0;nonexistent;no
24;services;married;high.school;no;no;no;cellular;may;thu;10;5;999;0;nonexistent;no
24;services;married;high.school;unknown;yes;no;cellular;may;fri;1012;3;999;0;nonexistent;yes
24;services;single;basic.9y;no;yes;no;cellular;jul;wed;73;4;999;0;nonexistent;no
24;services;single;professional.course;no;yes;no;telephone;may;mon;314;1;999;0;nonexistent;no
24;services;single;professional.course;no;yes;no;cellular;jul;wed;185;1;999;0;nonexistent;no
24;services;married;high.school;no;no;no;cellular;may;thu;166;3;999;0;nonexistent;no
24;services;single;high.school;no;yes;no;telephone;may;thu;70;7;999;0;nonexistent;no
25;admin.;single;high.school;no;no;no;telephone;may;tue;268;3;999;0;nonexistent;no
25;admin.;married;high.school;no;no;no;cellular;jul;wed;95;1;999;0;nonexistent;no
25;admin.;single;basic.9y;no;yes;no;cellular;jul;thu;83;4;999;0;nonexistent;no
25;admin.;single;university.degree;no;no;no;cellular;nov;fri;350;5;3;1;success;no
25;admin.;single;university.degree;no;no;no;cellular;may;tue;80;1;999;1;failure;no
25;admin.;single;basic.9y;no;no;no;cellular;jul;thu;198;3;999;0;nonexistent;no
25;admin.;married;high.school;no;no;no;cellular;jul;thu;298;1;999;0;nonexistent;no
25;admin.;married;university.degree;no;yes;no;telephone;jun;tue;64;1;999;0;nonexistent;no
25;admin.;single;university.degree;no;no;no;cellular;dec;fri;78;2;999;0;nonexistent;no
25;admin.;single;university.degree;no;unknown;unknown;cellular;oct;fri;1580;2;999;0;nonexistent;no
26;services;single;university.degree;no;yes;no;cellular;may;thu;551;1;999;1;failure;no
26;services;single;high.school;no;yes;no;cellular;may;mon;244;1;999;0;nonexistent;yes
26;services;single;high.school;unknown;yes;no;cellular;jul;fri;34;3;999;0;nonexistent;no
26;services;single;university.degree;no;yes;yes;cellular;may;tue;639;3;999;1;failure;no
26;services;single;high.school;no;no;no;cellular;may;mon;298;2;999;2;failure;no
26;services;single;high.school;no;yes;no;cellular;jul;tue;98;1;999;0;nonexistent;no
26;services;single;high.school;no;yes;no;cellular;jul;wed;142;2;999;0;nonexistent;no
26;services;single;basic.9y;no;yes;no;cellular;jul;wed;294;2;999;0;nonexistent;no
26;services;single;high.school;no;unknown;unknown;cellular;jul;wed;125;1;999;0;nonexistent;no
26;services;married;basic.9y;no;no;yes;cellular;may;tue;560;1;999;0;nonexistent;yes
28;admin.;single;university.degree;no;no;no;cellular;aug;thu;489;5;999;0;nonexistent;yes
28;admin.;single;high.school;no;yes;no;cellular;mar;fri;300;1;999;0;nonexistent;yes
28;admin.;married;high.school;unknown;no;no;cellular;jul;tue;60;3;999;0;nonexistent;no
28;admin.;married;university.degree;no;no;no;cellular;jul;wed;118;1;999;0;nonexistent;no
28;admin.;single;university.degree;no;yes;no;telephone;may;fri;315;3;999;0;nonexistent;no
28;admin.;single;university.degree;no;yes;no;cellular;sep;mon;387;2;6;3;success;no
28;admin.;married;university.degree;no;no;no;cellular;may;tue;72;3;999;1;failure;no
28;admin.;married;professional.course;no;no;no;cellular;jul;fri;549;2;999;0;nonexistent;no
28;admin.;single;university.degree;no;no;no;telephone;jun;thu;151;2;999;0;nonexistent;no
28;admin.;single;university.degree;no;yes;no;cellular;jul;wed;147;4;999;0;nonexistent;no
37;technician;single;university.degree;no;no;no;telephone;jun;mon;182;2;999;0;nonexistent;no
37;technician;divorced;professional.course;no;no;no;cellular;aug;tue;80;1;999;0;nonexistent;no
37;technician;married;professional.course;no;yes;no;cellular;nov;tue;400;1;999;0;nonexistent;no
37;technician;single;university.degree;no;no;no;cellular;apr;mon;190;1;999;0;nonexistent;no
37;technician;divorced;professional.course;no;no;no;cellular;may;mon;66;1;999;1;failure;no
37;technician;married;professional.course;no;yes;no;telephone;jul;wed;242;4;999;0;nonexistent;no
37;technician;divorced;professional.course;no;no;no;cellular;aug;tue;312;1;999;0;nonexistent;no
37;technician;single;university.degree;no;no;no;telephone;may;wed;226;1;999;0;nonexistent;no
37;technician;married;professional.course;no;no;no;telephone;jun;thu;96;1;999;0;nonexistent;no
37;technician;single;university.degree;no;yes;no;telephone;jun;tue;117;3;999;0;nonexistent;no
33;management;married;university.degree;no;yes;no;cellular;aug;tue;126;1;999;0;nonexistent;no
33;management;single;university.degree;no;no;no;cellular;nov;thu;2420;3;999;0;nonexistent;yes
33;management;married;university.degree;unknown;yes;no;telephone;may;tue;346;3;999;0;nonexistent;no
33;management;married;basic.9y;no;yes;no;telephone;may;wed;192;1;999;0;nonexistent;no
33;management;single;unknown;no;yes;no;telephone;may;wed;371;2;999;0;nonexistent;no
33;management;married;university.degree;no;yes;no;cellular;nov;mon;681;2;999;0;nonexistent;no
33;management;single;university.degree;no;yes;yes;telephone;may;fri;274;2;999;0;nonexistent;no
33;management;married;university.degree;no;yes;yes;cellular;jul;thu;1390;2;999;0;nonexistent;no
33;management;married;university.degree;no;yes;no;cellular;jul;tue;429;1;999;0;nonexistent;yes
33;management;married;university.degree;no;no;no;cellular;jul;tue;794;1;999;0;nonexistent;no
38;self-employed;married;basic.9y;unknown;yes;no;cellular;aug;fri;73;1;999;0;nonexistent;no
38;self-employed;married;high.school;no;yes;no;telephone;jul;tue;121;5;999;0;nonexistent;no
38;self-employed;married;basic.9y;no;yes;yes;cellular;may;wed;197;3;999;0;nonexistent;no
38;self-employed;married;basic.9y;no;no;yes;telephone;may;wed;355;4;999;0;nonexistent;no
38;self-employed;married;university.degree;unknown;yes;no;cellular;apr;mon;93;3;999;0;nonexistent;no
38;self-employed;single;unknown;no;yes;no;cellular;jul;tue;438;3;999;0;nonexistent;no
38;self-employed;married;high.school;unknown;yes;no;cellular;nov;tue;126;3;999;0;nonexistent;no
38;self-employed;single;university.degree;no;no;no;telephone;may;thu;238;1;999;0;nonexistent;no
38;self-employed;married;basic.9y;no;no;yes;cellular;may;wed;234;2;999;1;failure;no
38;self-employed;single;university.degree;no;no;no;telephone;may;fri;104;1;999;0;nonexistent;no
35;self-employed;married;university.degree;no;no;no;cellular;jul;thu;109;3;999;0;nonexistent;no
35;self-employed;single;university.degree;no;yes;yes;cellular;sep;tue;179;1;999;1;failure;no
35;self-employed;single;university.degree;no;yes;no;cellular;jul;thu;106;1;999;0;nonexistent;no
35;self-employed;single;high.school;no;yes;no;cellular;may;wed;109;1;999;1;failure;no
35;self-employed;married;professional.course;no;yes;no;cellular;nov;tue;91;1;999;1;failure;no
35;self-employed;married;basic.9y;no;no;yes;telephone;jun;tue;227;1;999;0;nonexistent;no
35;self-employed;single;university.degree;no;no;no;cellular;may;fri;1243;2;999;0;nonexistent;no
35;self-employed;single;university.degree;no;yes;no;cellular;nov;mon;365;1;999;0;nonexistent;no
35;self-employed;single;high.school;no;yes;no;cellular;may;wed;207;1;999;0;nonexistent;no
35;self-employed;single;professional.course;no;yes;no;cellular;nov;thu;361;1;999;0;nonexistent;no
72;unknown;married;unknown;no;yes;yes;cellular;aug;fri;207;8;999;1;failure;yes
30;student;single;university.degree;no;no;no;cellular;apr;thu;200;1;999;0;nonexistent;no
30;student;single;unknown;no;no;no;cellular;jun;tue;205;3;999;0;nonexistent;no
30;student;single;unknown;no;yes;no;cellular;mar;thu;292;1;999;0;nonexistent;yes
30;student;single;professional.course;no;no;yes;cellular;apr;fri;170;2;999;1;failure;no
30;student;single;university.degree;no;no;no;cellular;jul;tue;109;3;999;0;nonexistent;no
30;student;single;university.degree;no;yes;no;cellular;apr;mon;23;6;999;0;nonexistent;no
30;student;single;unknown;no;yes;no;cellular;apr;wed;176;1;999;0;nonexistent;no
30;student;single;high.school;no;no;no;cellular;may;fri;226;2;3;2;success;yes
30;student;single;high.school;no;yes;yes;cellular;apr;mon;102;3;10;1;success;no
30;student;single;professional.course;no;unknown;unknown;cellular;sep;mon;132;4;6;3;success;no
27;housemaid;married;high.school;no;yes;no;cellular;mar;fri;378;1;999;0;nonexistent;yes
27;housemaid;married;high.school;no;yes;no;cellular;jul;fri;189;2;999;0;nonexistent;no
27;housemaid;single;high.school;no;no;no;cellular;jul;wed;293;2;999;0;nonexistent;no
27;housemaid;married;high.school;no;yes;no;cellular;mar;fri;101;12;999;0;nonexistent;no
27;housemaid;single;university.degree;no;yes;no;cellular;may;tue;9;9;999;0;nonexistent;no
27;housemaid;married;basic.9y;unknown;yes;no;telephone;jun;tue;614;4;999;0;nonexistent;no
27;housemaid;married;basic.6y;no;no;no;cellular;may;mon;608;3;999;0;nonexistent;yes
71;blue-collar;divorced;basic.4y;unknown;no;no;cellular;aug;thu;224;1;999;0;nonexistent;no
55;management;married;university.degree;no;yes;no;cellular;nov;tue;283;1;999;0;nonexistent;no
55;management;married;basic.4y;no;yes;yes;cellular;may;wed;1108;3;999;0;nonexistent;no
55;management;married;university.degree;no;no;no;cellular;aug;thu;122;5;999;0;nonexistent;no
55;management;married;university.degree;unknown;yes;no;telephone;may;tue;416;3;999;0;nonexistent;no
55;management;married;university.degree;no;yes;no;cellular;nov;wed;99;1;999;1;failure;no
55;management;married;basic.4y;unknown;no;no;cellular;apr;thu;594;2;999;0;nonexistent;no
55;management;divorced;university.degree;no;no;no;cellular;nov;thu;131;2;999;1;failure;no
55;management;married;unknown;no;yes;yes;telephone;may;wed;77;2;999;0;nonexistent;no
55;management;married;basic.4y;unknown;no;no;cellular;apr;thu;98;1;999;0;nonexistent;no
55;management;married;university.degree;no;yes;yes;cellular;aug;tue;384;4;999;0;nonexistent;no
56;management;married;university.degree;no;no;yes;telephone;jul;wed;154;1;999;0;nonexistent;no
56;management;married;university.degree;no;yes;no;cellular;nov;wed;130;2;999;0;nonexistent;no
56;management;married;university.degree;no;yes;no;cellular;nov;thu;149;2;999;0;nonexistent;no
56;management;married;basic.9y;no;yes;no;cellular;jul;mon;180;3;999;0;nonexistent;no
56;management;married;university.degree;no;yes;no;cellular;jul;tue;90;1;999;0;nonexistent;no
56;management;married;university.degree;no;no;no;cellular;jul;tue;442;2;999;0;nonexistent;no
56;management;married;university.degree;no;yes;no;cellular;nov;mon;124;1;999;0;nonexistent;no
56;management;married;unknown;no;no;no;telephone;may;tue;70;1;999;0;nonexistent;no
56;management;married;university.degree;no;no;yes;telephone;may;wed;171;1;999;0;nonexistent;no
56;management;married;university.degree;no;no;no;cellular;apr;tue;72;5;999;0;nonexistent;no
27;admin.;single;university.degree;no;no;no;cellular;jul;mon;130;1;999;0;nonexistent;no
27;admin.;single;university.degree;no;no;no;cellular;jul;fri;149;1;999;0;nonexistent;no
27;admin.;single;university.degree;no;yes;no;cellular;may;fri;680;1;999;1;failure;no
27;admin.;single;university.degree;unknown;yes;no;cellular;jul;tue;282;1;999;0;nonexistent;no
27;admin.;married;high.school;no;yes;no;telephone;aug;mon;36;1;999;0;nonexistent;no
27;admin.;single;high.school;no;no;no;cellular;jul;tue;491;1;999;0;nonexistent;no
